RapidGrow,12582912,1,3994735704,3.149873466572646,317
RapidGrow,12582912,2,7621284985,1.6510223702125475,1211
RapidGrow,12582912,3,8808398077,1.4285130951172385,2100
RapidGrow,12582912,4,9275707782,1.356544675158677,2948
RapidGrow,12582912,5,9354988565,1.3450483570954532,3717
RapidGrow,12582912,6,9377787674,1.341778299682156,4471
RapidGrow,12582912,7,9506489404,1.323612899069298,5288
RapidGrow,12582912,8,9937489008,1.2662063816996778,6318
RapidGrow,12582912,9,11184109170,1.1250705629512379,7999
RapidGrow,12582912,10,11025885285,1.141215573602805,8762
