ReadHeavy,12582912,1,2114128949,5.951818599310992,168
ReadHeavy,12582912,2,2602097231,4.835680946159079,413
ReadHeavy,12582912,3,2794740590,4.502354188085843,666
ReadHeavy,12582912,4,3085514669,4.078059367670438,980
ReadHeavy,12582912,5,2575438763,4.885735269955631,1023
ReadHeavy,12582912,6,2640525445,4.765306096113004,1259
ReadHeavy,12582912,7,2891964153,4.350991690871073,1608
ReadHeavy,12582912,8,2701287635,4.658116313481737,1717
ReadHeavy,12582912,9,2875237158,4.376304043299373,2056
ReadHeavy,12582912,10,2777856149,4.529720520095945,2207
