Exchange,12582912,1,3242760578,3.8803086744568165,257
Exchange,12582912,2,3656122289,3.441600418524732,581
Exchange,12582912,3,3078133312,4.087838545181243,733
Exchange,12582912,4,3153200883,3.990520257633709,1002
Exchange,12582912,5,3204138688,3.927080949125258,1273
Exchange,12582912,6,3022212185,4.16347735690173,1441
Exchange,12582912,7,3296796502,3.816708732967468,1834
Exchange,12582912,8,3906002947,3.2214292131203552,2483
Exchange,12582912,9,3213402950,3.915759148724252,2298
Exchange,12582912,10,3618408166,3.477471701018707,2875
