ReadHeavy,12582912,1,1789547339,7.031337884043536,142
ReadHeavy,12582912,2,2323044485,5.416560931677552,369
ReadHeavy,12582912,3,2964504109,4.244525066367516,706
ReadHeavy,12582912,4,2875138151,4.376454743791545,913
ReadHeavy,12582912,5,3037632221,4.142342154856936,1207
ReadHeavy,12582912,6,2876380755,4.374564103909811,1371
ReadHeavy,12582912,7,2858167844,4.402439844956845,1590
ReadHeavy,12582912,8,2969512055,4.237366869352547,1887
ReadHeavy,12582912,9,2939372323,4.280815976098446,2102
ReadHeavy,12582912,10,3091635098,4.06998614038894,2457
